iter	Logloss
0	0.6303212258
1	0.5774079706
2	0.5314653479
3	0.4899416404
4	0.4572492324
5	0.4304034051
6	0.4052542562
7	0.384961221
8	0.3652713912
9	0.3491702265
10	0.3341949438
11	0.3217736676
12	0.3108108724
13	0.3018360715
14	0.2942075529
15	0.2867704007
16	0.2800444492
17	0.2740686778
18	0.2684312553
19	0.263237404
20	0.2578976632
21	0.2528572309
22	0.248913451
23	0.2450364744
24	0.2415996506
25	0.2382538147
26	0.2358452495
27	0.2330803982
28	0.2307351551
29	0.2287580404
30	0.2264924653
31	0.2243241476
32	0.2226317628
33	0.2204627738
34	0.218753586
35	0.2171994648
36	0.2156589556
37	0.2141250914
38	0.2129957676
39	0.2117541565
40	0.2103422131
41	0.2089172659
42	0.2076467731
43	0.2062631299
44	0.2050083984
45	0.20407591
46	0.2030871874
47	0.2020531097
48	0.2007213466
49	0.1999344406
50	0.1981750504
51	0.1972192585
52	0.1964075243
53	0.1955738584
54	0.1947448821
55	0.1939769415
56	0.1932301342
57	0.1922127014
58	0.1915393052
59	0.1901047913
60	0.1891542098
61	0.188647132
62	0.1878602706
63	0.1868607573
64	0.18621867
65	0.1855239643
66	0.1847702508
67	0.1841918303
68	0.1835494004
69	0.1829417272
70	0.182247307
71	0.1815886193
72	0.1811365855
73	0.1802345949
74	0.1798460404
75	0.1791349425
76	0.1784186514
77	0.1778781333
78	0.1772879007
79	0.1767324808
80	0.1764569563
81	0.1761201622
82	0.1757600168
83	0.1752474131
84	0.1744666132
85	0.1738523061
86	0.1733047423
87	0.1731182329
88	0.1726431913
89	0.1720466641
90	0.1715214093
91	0.1710794452
92	0.170558873
93	0.1702074366
94	0.1695351116
95	0.1689778711
96	0.1683346911
97	0.1679361945
98	0.1674328255
99	0.1670916349
100	0.1667898472
101	0.1664774959
102	0.1660893037
103	0.1656362442
104	0.1650983444
105	0.1647394648
106	0.1643129022
107	0.163994722
108	0.1634893221
109	0.1627619144
110	0.1622638493
111	0.1618396727
112	0.1614392123
113	0.1611681079
114	0.160796607
115	0.160470448
116	0.159997788
117	0.1597173661
118	0.1594725459
119	0.1591291585
120	0.1587979676
121	0.158243174
122	0.1577608961
123	0.1573089006
124	0.1570404179
125	0.1566556325
126	0.1564183656
127	0.1559085397
128	0.1554245695
129	0.155042328
130	0.154700719
131	0.154343516
132	0.1541041499
133	0.153697442
134	0.1534928116
135	0.1531728863
136	0.1530091723
137	0.1526419573
138	0.1523352252
139	0.1518180739
140	0.1515678711
141	0.1511719435
142	0.1506632052
143	0.1504708062
144	0.1496916824
145	0.1494724713
146	0.1492797567
147	0.1489734129
148	0.1486736348
149	0.1483346066
150	0.1481140354
151	0.1478091604
152	0.147336125
153	0.1469625104
154	0.1460978155
155	0.1458833677
156	0.1455666161
157	0.1452800128
158	0.1448542035
159	0.1446355055
160	0.144468385
161	0.144144152
162	0.1439299884
163	0.1436754458
164	0.1432840299
165	0.142929279
166	0.1424365258
167	0.1421868916
168	0.1416753199
169	0.1413619546
170	0.1409184566
171	0.1406592669
172	0.1403091211
173	0.1400549424
174	0.1398414452
175	0.1395282909
176	0.1389605875
177	0.1388063254
178	0.138475171
179	0.1381636228
180	0.1378936128
181	0.137594388
182	0.137315074
183	0.1370373762
184	0.1366120044
185	0.1363203861
186	0.1361007174
187	0.1355452695
188	0.1351046213
189	0.1347518301
190	0.1344904791
191	0.1343339383
192	0.1338246472
193	0.1335668882
194	0.1332732269
195	0.1330529388
196	0.1326945712
197	0.1325720197
198	0.132346133
199	0.1320800899
200	0.1319209003
201	0.1318405874
202	0.1315958108
203	0.1313268442
204	0.1309973157
205	0.1307573972
206	0.1305584861
207	0.1303531474
208	0.130193937
209	0.1300433465
210	0.1298163415
211	0.1296326834
212	0.1294139666
213	0.1291919171
214	0.1288718449
215	0.1285325168
216	0.128401913
217	0.1282373134
218	0.1278748828
219	0.1276530878
220	0.1274627369
221	0.1269660165
222	0.1267009732
223	0.1264123181
224	0.1261748876
225	0.1259147189
226	0.1257263851
227	0.1255483202
228	0.1253297325
229	0.1251218311
230	0.1249680844
231	0.1245927843
232	0.1243936889
233	0.124209722
234	0.1239656534
235	0.1237780695
236	0.1235147599
237	0.1233251383
238	0.1231784185
239	0.1230196782
240	0.1227542133
241	0.1224144946
242	0.1222432615
243	0.1219702797
244	0.1214881639
245	0.1213778945
246	0.121033791
247	0.1208423625
248	0.1206469786
249	0.1204482835
250	0.1202968488
251	0.1201929577
252	0.1200229449
253	0.1197973591
254	0.119629092
255	0.1195129892
256	0.1190936194
257	0.1189465782
258	0.1187851701
259	0.1185031672
260	0.1184152134
261	0.1182181383
262	0.1180916906
263	0.1178872711
264	0.1177476622
265	0.1176198678
266	0.1174404908
267	0.1173302628
268	0.1171421394
269	0.1170101335
270	0.1168881477
271	0.1167304425
272	0.1165915339
273	0.1164894143
274	0.1163319181
275	0.1160474745
276	0.1159622107
277	0.1158174517
278	0.1156394582
279	0.1154625269
280	0.1151068557
281	0.1149804186
282	0.1147133475
283	0.1144011663
284	0.1142529789
285	0.1140970433
286	0.1137993767
287	0.1136658361
288	0.1134260189
289	0.1132411884
290	0.1131100713
291	0.1129712339
292	0.1128161604
293	0.1126562766
294	0.1124161915
295	0.1122626763
296	0.1121290818
297	0.1120323134
298	0.1118172004
299	0.1117124251
300	0.1116133887
301	0.1115305733
302	0.1114255259
303	0.1112042332
304	0.1110824641
305	0.1109712293
306	0.1107020084
307	0.1105809775
308	0.1103445977
309	0.1101913853
310	0.110120517
311	0.1098238509
312	0.1096203
313	0.1095371632
314	0.1094403355
315	0.1093599267
316	0.1091805941
317	0.1090094333
318	0.1088193572
319	0.1086806929
320	0.1085602188
321	0.1083745957
322	0.1082527521
323	0.1080772885
324	0.1078270599
325	0.10769067
326	0.1075274007
327	0.1073053639
328	0.1071606132
329	0.1069759379
330	0.1067760936
331	0.1066218006
332	0.1064575636
333	0.1063383193
334	0.1061807195
335	0.1060557909
336	0.105926277
337	0.1058325577
338	0.1057463154
339	0.1056295086
340	0.1055357428
341	0.1053806399
342	0.1052112117
343	0.1050567136
344	0.1049007577
345	0.1047996573
346	0.104704843
347	0.1045731334
348	0.1044574903
349	0.104276923
350	0.1041751509
351	0.1039878622
352	0.1039354628
353	0.1037447681
354	0.103596461
355	0.1034526718
356	0.1032655275
357	0.1031355506
358	0.1030060225
359	0.1028408973
360	0.1027317404
361	0.1026359608
362	0.102579937
363	0.1024558749
364	0.1023253389
365	0.102204851
366	0.1021071416
367	0.1018820829
368	0.1017869525
369	0.1016532914
370	0.1015564132
371	0.1013909728
372	0.1013552648
373	0.1012497532
374	0.1010968792
375	0.1008489384
376	0.1007338906
377	0.1005640667
378	0.1004639318
379	0.1003265705
380	0.1001819648
381	0.1000664939
382	0.09993115757
383	0.09985465973
384	0.09974363197
385	0.09962335156
386	0.09956460413
387	0.09942693321
388	0.09929860346
389	0.09917954991
390	0.0991222322
391	0.09900519034
392	0.09884283961
393	0.0986784407
394	0.09860166007
395	0.09849559505
396	0.09838343157
397	0.09831178177
398	0.09817204026
399	0.0981008916
400	0.09798868033
401	0.09787893513
402	0.09777156253
403	0.09766153922
404	0.0975807538
405	0.09749327924
406	0.09740103538
407	0.09736987427
408	0.09725427069
409	0.09716108807
410	0.0970340975
411	0.0969698517
412	0.09684801564
413	0.09675801684
414	0.09658393501
415	0.09649294443
416	0.09640852317
417	0.09633917697
418	0.09627568524
419	0.09619376068
420	0.09607061519
421	0.09592541565
422	0.09583131724
423	0.09571240213
424	0.09561350662
425	0.09549526383
426	0.09535207316
427	0.09527727406
428	0.09517028122
429	0.09504230976
430	0.09495785665
431	0.09482832716
432	0.09473574663
433	0.09460372427
434	0.09451202441
435	0.09443671828
436	0.09430187349
437	0.09416047387
438	0.0940831614
439	0.09396812458
440	0.09393993315
441	0.09380521869
442	0.0936597471
443	0.09348610973
444	0.09334741323
445	0.09331568668
446	0.09322523656
447	0.09308828521
448	0.09300000243
449	0.0929074045
450	0.09284985484
451	0.09276660726
452	0.09269998838
453	0.09258467118
454	0.09247819429
455	0.09240982017
456	0.0923168189
457	0.09222252958
458	0.09210684323
459	0.09201245566
460	0.09194173902
461	0.09185174132
462	0.09176017258
463	0.09171617387
464	0.09159668529
465	0.09157497233
466	0.09151603457
467	0.0913951405
468	0.09133944336
469	0.0913169834
470	0.0912053872
471	0.09108345115
472	0.09106003884
473	0.09089957681
474	0.09076413324
475	0.09067407563
476	0.09059658459
477	0.09049712153
478	0.09040079404
479	0.0902145823
480	0.09014430605
481	0.09012820518
482	0.09000025145
483	0.08986880498
484	0.08980175104
485	0.08970281278
486	0.08960849147
487	0.08948077469
488	0.08935488517
489	0.08931453386
490	0.08925919278
491	0.08916073191
492	0.08901856283
493	0.08889091556
494	0.08883464809
495	0.08880359166
496	0.08869803781
497	0.088608658
498	0.08857606144
499	0.08847430096
500	0.0884399946
501	0.08836326991
502	0.08826720919
503	0.08815701006
504	0.08807685474
505	0.08793166611
506	0.08790283275
507	0.08779116608
508	0.08770856968
509	0.08761888414
510	0.08749443669
511	0.08738106568
512	0.08734085503
513	0.08726362876
514	0.08717823454
515	0.08715299499
516	0.08709320456
517	0.08699601298
518	0.08689874255
519	0.08679340324
520	0.08665902499
521	0.08657947869
522	0.08651085571
523	0.0863629819
524	0.08630227161
525	0.08622167996
526	0.08609966628
527	0.08601355084
528	0.08590296124
529	0.08582624782
530	0.0857089914
531	0.08568773823
532	0.08556366263
533	0.08549556924
534	0.08543080894
535	0.0853496483
536	0.08520217491
537	0.08513308769
538	0.08507788923
539	0.08495997755
540	0.08489026535
541	0.08480297389
542	0.08469673959
543	0.08465180308
544	0.08454549566
545	0.08447801506
546	0.08440145901
547	0.08435463944
548	0.0842720095
549	0.08424711547
550	0.08412461536
551	0.08406190546
552	0.08399353284
553	0.08387947144
554	0.0838314194
555	0.0837778828
556	0.0836801583
557	0.08357526263
558	0.08354119113
559	0.08348837936
560	0.08340810271
561	0.08329712275
562	0.08321947135
563	0.08317422164
564	0.08309015371
565	0.08298858073
566	0.08291426092
567	0.08281467129
568	0.08271141307
569	0.08263691528
570	0.08255237714
571	0.08247952915
572	0.08243870405
573	0.08237824474
574	0.0823379769
575	0.0822907072
576	0.08223115638
577	0.08211900064
578	0.08209620313
579	0.08200021696
580	0.08192793806
581	0.08188018901
582	0.08176765742
583	0.08166209504
584	0.08160437249
585	0.08150864937
586	0.08143401856
587	0.08133886357
588	0.08128859042
589	0.08120423585
590	0.08112040488
591	0.08100938031
592	0.08093996952
593	0.08082601483
594	0.08076209286
595	0.08067449003
596	0.08059153315
597	0.0805406752
598	0.08045962746
599	0.08044129981
600	0.08037240494
601	0.08029808656
602	0.08020582136
603	0.08012246201
604	0.08005053847
605	0.07998103885
606	0.07984955435
607	0.07978006146
608	0.07973871658
609	0.07967271368
610	0.07959651461
611	0.07956570596
612	0.07945416464
613	0.07937411803
614	0.07931310783
615	0.07925136349
616	0.07918025933
617	0.0791389281
618	0.07906740696
619	0.07902972176
620	0.07896809523
621	0.0789317235
622	0.07884915919
623	0.07871545994
624	0.07866750373
625	0.07859171568
626	0.07852014791
627	0.07841687462
628	0.0783887062
629	0.07828899931
630	0.07822959508
631	0.07816320821
632	0.07804823643
633	0.07798645747
634	0.07791868692
635	0.07785700186
636	0.07781995173
637	0.07774967637
638	0.07768754186
639	0.07761061514
640	0.07757943923
641	0.0775408093
642	0.07749220632
643	0.07742282809
644	0.07732193911
645	0.07722998741
646	0.07719244111
647	0.07709770761
648	0.07700943902
649	0.07696642786
650	0.07693772565
651	0.07687386316
652	0.07680741369
653	0.07673703463
654	0.07667194386
655	0.07662640734
656	0.07655685761
657	0.07649690354
658	0.07637522099
659	0.07629888475
660	0.07623017524
661	0.07616833758
662	0.07610588498
663	0.07602132788
664	0.07595433531
665	0.07586374603
666	0.07581061773
667	0.07570928246
668	0.07566113553
669	0.0755869334
670	0.0755142272
671	0.07541841273
672	0.07534208475
673	0.07528282589
674	0.07523297444
675	0.07514769064
676	0.07510895115
677	0.07503626172
678	0.0749647755
679	0.07488007652
680	0.07483700139
681	0.07477674334
682	0.07469418807
683	0.07460164146
684	0.07450885491
685	0.07438500507
686	0.07429493239
687	0.0741712681
688	0.07414942525
689	0.07409984167
690	0.07405837373
691	0.07401877016
692	0.07400136145
693	0.07393584001
694	0.07385114386
695	0.07380924856
696	0.07376592601
697	0.0736894604
698	0.07362399768
699	0.07355063706
700	0.07349746439
701	0.07343266165
702	0.07336267985
703	0.07331745258
704	0.07324478496
705	0.07319196084
706	0.07310369073
707	0.07303047855
708	0.07296491947
709	0.07291589442
710	0.0728760861
711	0.07286542768
712	0.07277424412
713	0.07270193494
714	0.07264188276
715	0.07257439585
716	0.07249453137
717	0.07244979649
718	0.07241617291
719	0.07235244367
720	0.07230393301
721	0.07224965226
722	0.07217292405
723	0.07208980595
724	0.07205130977
725	0.07198055176
726	0.07193557235
727	0.07186127926
728	0.07185346092
729	0.0717907695
730	0.07173634369
731	0.07167517899
732	0.07162715348
733	0.07158920769
734	0.07152664314
735	0.07143439511
736	0.07137784511
737	0.07133255964
738	0.07128552547
739	0.07123805329
740	0.07115137473
741	0.07110009005
742	0.07101640178
743	0.0709855658
744	0.07090207243
745	0.07083365623
746	0.07076827357
747	0.07072285297
748	0.07066925494
749	0.07058359532
750	0.07051071325
751	0.07047382078
752	0.0704113079
753	0.07036011205
754	0.07030222961
755	0.07026478787
756	0.07020719901
757	0.07016082427
758	0.07011017605
759	0.07003497256
760	0.06998429831
761	0.06992651679
762	0.06992456254
763	0.0698395879
764	0.06978709471
765	0.06974363211
766	0.06969067798
767	0.06967856102
768	0.06959913056
769	0.06955644787
770	0.06947029736
771	0.06940293891
772	0.06933164058
773	0.06927131479
774	0.06922298634
775	0.06917498664
776	0.06911880693
777	0.06906367648
778	0.06899793342
779	0.06898924159
780	0.0689341678
781	0.06887753348
782	0.06881730692
783	0.06874930468
784	0.06868314433
785	0.06860252932
786	0.06855956466
787	0.06851916308
788	0.06844087143
789	0.06838682411
790	0.06830792101
791	0.0682416173
792	0.06820813609
793	0.06813939015
794	0.06809454562
795	0.06804230462
796	0.06798190873
797	0.06792655332
798	0.06788766124
799	0.06784560894
800	0.06778064152
801	0.0677595297
802	0.0677024246
803	0.06765878206
804	0.06759970642
805	0.06751918523
806	0.06744332802
807	0.06738616994
808	0.06734220808
809	0.06725720782
810	0.06720731351
811	0.06714847115
812	0.06712518224
813	0.06705962957
814	0.0670173346
815	0.06698673107
816	0.06691927226
817	0.06688492171
818	0.06684124074
819	0.06677775004
820	0.0667199615
821	0.06665321285
822	0.06660242565
823	0.06655745642
824	0.06654806874
825	0.06652124527
826	0.06643119086
827	0.06637452995
828	0.0663260729
829	0.06626024346
830	0.06621705562
831	0.06615951616
832	0.06607106736
833	0.06601644206
834	0.06597744595
835	0.06594088189
836	0.06590715026
837	0.06586126529
838	0.06582544152
839	0.06579045785
840	0.06571878044
841	0.06568365519
842	0.06557362023
843	0.06552432311
844	0.06543813865
845	0.06537220791
846	0.06536434288
847	0.06533216482
848	0.06532460849
849	0.06527134542
850	0.06525260917
851	0.06524541413
852	0.06518052685
853	0.06514685874
854	0.06508390661
855	0.06503426339
856	0.06498989664
857	0.06495206612
858	0.06491049034
859	0.06484071982
860	0.06482720853
861	0.0647624558
862	0.06471768275
863	0.06464263283
864	0.06461940349
865	0.06459528656
866	0.06455147634
867	0.06451221254
868	0.0644596254
869	0.06441417081
870	0.06437288905
871	0.06430462464
872	0.06426038729
873	0.06420405776
874	0.06416395872
875	0.06411070379
876	0.06405641048
877	0.06397092488
878	0.06395657792
879	0.06387165929
880	0.06382273728
881	0.06379003544
882	0.06376351478
883	0.06372497738
884	0.06367228044
885	0.06362864542
886	0.06360083368
887	0.06354071266
888	0.06349747432
889	0.06343297987
890	0.06339785858
891	0.06336995581
892	0.06331634737
893	0.0632544044
894	0.06321771541
895	0.0631976046
896	0.06314387613
897	0.06307564263
898	0.06303406571
899	0.06298377681
900	0.0629219735
901	0.06288166263
902	0.06284854897
903	0.06279745311
904	0.06274691388
905	0.06272056048
906	0.06270185566
907	0.06266115166
908	0.06261604347
909	0.0625864031
910	0.06255652115
911	0.06254770509
912	0.0625110536
913	0.06247097635
914	0.06241884045
915	0.06238785666
916	0.06230657263
917	0.06225438166
918	0.0621850876
919	0.06213650002
920	0.06208835164
921	0.06205463669
922	0.06201871332
923	0.06199206863
924	0.06197213857
925	0.06195072004
926	0.06190077464
927	0.06185767254
928	0.06181385569
929	0.06177734092
930	0.0617410983
931	0.06171304146
932	0.06169234324
933	0.06164619412
934	0.06159138825
935	0.06151576326
936	0.06146598392
937	0.0613989762
938	0.06133004948
939	0.06128837614
940	0.06125143647
941	0.06119396396
942	0.06116260029
943	0.06111920373
944	0.06108831418
945	0.06104964679
946	0.06101012679
947	0.06098189216
948	0.06094679099
949	0.06088053702
950	0.06082996748
951	0.06078339416
952	0.06073688162
953	0.06071882369
954	0.06065500608
955	0.06060815572
956	0.06052761462
957	0.06047413974
958	0.06044071669
959	0.06040285373
960	0.06033651321
961	0.06028149913
962	0.06024475524
963	0.0602180091
964	0.06016867663
965	0.06014102357
966	0.06012364875
967	0.06007398569
968	0.06005066717
969	0.06000297077
970	0.05993555273
971	0.059897109
972	0.05984919409
973	0.05980570456
974	0.05977278355
975	0.05972569892
976	0.05967864941
977	0.05965402091
978	0.05961299309
979	0.05955892503
980	0.0595274142
981	0.05950179257
982	0.05945347934
983	0.05939771864
984	0.05936196806
985	0.05934722587
986	0.05933455342
987	0.05929672962
988	0.05923467784
989	0.05923076838
990	0.05918175612
991	0.05914348146
992	0.05911972413
993	0.05905810758
994	0.05902919093
995	0.05900439867
996	0.05896187429
997	0.0589360745
998	0.05888068509
999	0.0588547831
